labels,LDA1,LDA2,LDA3 
0,0.951479303,1.633560879,0.313888514
0,-0.403545726,3.89746251,-0.030454193
0,-1.954054143,1.925358464,1.081223272
0,-1.54872009,1.350052688,0.726193282
0,-3.449349359,1.3764261,3.798737496
0,-2.614125966,1.761313247,0.724924886
0,-2.414878442,2.539449913,0.833281561
0,-2.048766714,3.182881252,1.71373809
0,-1.513741712,2.007288219,2.942355371
0,0.388024831,2.568776714,-0.827320573
0,-1.244815864,0.217364195,0.562354907
0,-1.746915141,0.185079073,-0.490187244
0,-0.389309499,0.907270016,2.188985748
0,-2.012173607,0.358669248,1.691717401
0,-2.630041782,3.154943548,2.225680165
0,-1.87631805,1.870841155,0.528428674
0,-1.493204813,1.189691548,1.685194404
0,-2.699506419,1.169557428,0.84088958
0,-2.602198489,0.215328863,0.961066156
0,-4.656333843,2.744338777,0.862360478
0,-0.599086621,1.958589326,-0.321956196
0,-2.700933903,1.192729035,1.729084961
0,-3.030027921,1.585133983,0.651707922
0,-3.088367958,0.451820004,2.444628553
0,-1.898621093,1.221975819,0.533090101
0,-2.229633742,3.035894718,0.612394614
0,-1.80213792,1.17914485,2.814202412
0,-2.990835198,1.668628404,0.218699441
0,-0.946743721,-0.629239042,-0.26529348
0,-2.804629445,1.740115467,0.512102449
0,-2.923473656,1.1196461,0.291332382
0,-3.246205986,2.920537392,1.595271202
0,-0.441992329,2.964176687,0.719898949
0,-0.717951461,3.269035385,-0.731706196
1,-1.102786522,-1.683054132,1.135049349
1,-2.774258841,-2.016581344,-0.115304713
1,-2.52908697,-1.867173225,0.147508551
1,-4.200452,-3.305528076,-0.068065383
1,-3.182654477,-2.017308077,-0.686508276
1,-1.552043096,-0.103932985,-0.697813724
1,-0.317347627,-3.113735319,-0.711362313
1,-3.610587371,-2.851848808,0.914337202
1,-2.867499495,-2.122487141,0.508819729
1,-2.385659726,1.521382953,1.113447115
1,-2.520183934,-1.750682328,-1.809776534
1,-2.062430153,-4.306991992,-0.753186751
1,-2.785416428,-1.109758541,-0.018940679
1,-0.810147175,-1.85858009,0.048025546
1,-3.385858211,-0.972722336,-0.149166515
1,-2.263284464,-3.056191345,-0.051973109
1,-1.987873721,-3.432419838,0.052624416
1,-2.650143069,-1.969409602,-0.836083773
1,-3.066015068,-3.309333899,-0.992983385
1,-2.434229017,-4.589164697,0.031168021
1,-2.142263643,-3.150012405,-2.46534199
1,-4.078648233,-1.469242994,-1.668807261
1,-3.005342156,-0.401438975,-1.031041316
1,-3.365698413,-2.142135835,-1.716054077
1,-0.55069244,-1.115515445,2.201755251
1,-1.364620345,-0.693018273,-0.255173498
1,-1.658812405,-0.650909459,-0.461336761
1,-1.813704623,-1.551664092,-0.643655976
1,-3.308258568,-3.18557945,-0.128876819
1,-1.85601262,-2.561385551,-1.165014368
1,-2.583088258,-2.187869755,1.374849892
1,-3.300651393,-0.850625249,0.740999906
1,-2.99545464,0.436210786,-0.786693994
1,-4.227535129,-1.948036048,2.088541788
1,-3.087422895,-1.816542515,0.015626419
2,1.530036376,1.228806892,-1.378536845
2,2.057701539,1.499553898,-2.029651781
2,1.408331556,2.371044427,-1.319030932
2,-0.351537524,2.164870868,-1.820385485
2,0.445511244,2.370927356,0.487980393
2,-0.345667851,0.299766754,-1.166943753
2,-0.446953636,0.910044055,-1.909657248
2,0.276712624,0.794641501,-1.699060808
2,1.811753988,1.350637981,-1.947788144
2,1.526651138,1.551501427,-1.234508848
2,0.333232729,0.354169975,-1.727168275
2,-0.622521164,0.372254788,-1.72077074
2,1.664514376,-0.421151738,-1.834630666
2,2.015452962,-0.084112368,-2.746807994
2,0.309746424,1.205053633,-1.299182445
2,0.649025095,0.815103557,-0.772977453
2,1.182191458,1.407277896,-1.078528863
2,0.324691679,1.620823545,-1.882413802
2,1.902563542,-0.002729172,-0.897551603
2,1.851378474,1.539556884,-0.436279693
2,1.983071414,-0.229747195,-0.619808641
2,2.398217509,0.793718164,-2.257409036
2,2.826496938,-0.780747754,-0.067989719
2,0.469053935,1.149399176,-2.973793756
2,1.538142881,1.856821987,-0.927263038
2,1.132923574,1.492059322,-4.126770025
2,1.845449114,0.203350759,-1.295744151
2,1.143538914,0.141011,-1.631621255
2,-0.592851732,2.147458042,-2.194957733
2,0.882693579,0.398338883,-2.456372709
2,2.518015162,1.409104544,-2.283644573
2,0.85085427,1.64741767,-1.904443222
3,3.615803551,-0.541242579,-0.551550316
3,3.73436431,-0.644126901,0.341003772
3,4.685060054,-0.98268111,0.413077848
3,4.769411959,-0.885854427,1.909080731
3,5.259721769,-0.002481154,2.060145812
3,3.583480171,-0.980908135,1.508926685
3,3.2069196,-0.766604284,0.668168235
3,1.849144566,-1.84009034,-1.525600027
3,3.914250629,-1.142095366,1.120507775
3,4.209877035,-0.49958543,2.12907488
3,2.580874019,-0.157953965,-0.146055465
3,2.998095711,-1.589156661,3.002149467
3,4.639047458,-1.131619137,1.680234454
3,3.949479277,-2.169329925,0.87214019
3,5.266342161,-1.026943502,1.189012112
3,4.581391867,-0.468356336,0.183317735
3,3.078608012,-0.51745383,0.480433133
3,4.230219953,0.688275084,-0.293763643
3,3.61926414,-0.88854174,0.21583692
3,3.571526854,-1.1660994,-0.700869737
3,5.279162545,-0.799146493,1.008593109
3,3.8474012,0.098073723,0.833705632
3,4.014408871,0.031542429,0.164757765
3,4.744970994,0.360422916,1.002868423
3,4.535554347,-0.898685039,2.267672023
3,5.18068044,-1.048774542,1.202874525
3,4.686006237,-1.120268343,1.647162819
3,4.585933507,-1.015815134,0.969206598
3,4.469877778,-1.201283021,1.205494332
